初期値データ, 得意先コード１, 得意先コード２, 状態, 得意先名1, 得意先名2, 得意先名(フリガナ)1, 得意先名(フリガナ)2, 略称, 郵便番号１, 郵便番号２, 住所１, 住所２, 住所(フリガナ), 地区, TEL, FAX, 代表者氏名, ご担当者１, ご担当者２, ご担当者３, 窓口ご担当, キーマン, 営業時間(午前開始時間), 営業時間(午前開始時間), 営業時間(午前終了時間), 営業時間(午前終了時間), 営業時間(午後後開始時間), 営業時間(午後開始時間), 営業時間(午後終了時間), 営業時間(午後終了時間), 休日, 業種, 業態, 請求先コード１, 請求先コード２, 請求先名, 紹介口座先コード, 紹介口座先名, 契約担当１, 契約担当２, 回収条件, 与信限度,資本金, 取引区分, 締日, 集金日(月) , 集金日(日), 集金方法, 振込銀行, 振込名義, 口座名義, 契約年月日(年), 契約年月日(月), 契約年月日(日), 契約終了日(年), 契約終了日(月), 契約終了日(日), 契約期間, 契約更新日(年), 契約更新日(月), 契約更新日(日), 伝票発行, 納品書コメント, 請求書発行, 丸め, 消費税(課税単位), 消費税(端数区分), 設備情報等・その他, Email, URL, 代表者携帯, 直通TEL, 業態, 施設, 創業日(年), 創業日(月), 創業日(日), 取引履歴, 重要事項, お振込先口座名, 銀行/支店名, 口座番号, 巡回開始日(年), 巡回開始日(月), 巡回開始日(日), 納品書コメント(効果), 請求書送付(郵送), 経理会計窓口, 略称(フリガナ), 代表者役職, 振込銀行, 住所３, 親会社名, 親会社TEL, 親会社住所, 得意先名2, 得意先名2(フリガナ), ご担当者役職１, ご担当者役職２, ご担当者役職３, ご担当者備考, ご担当者備考, 請求書コメント, 得意先１伝票印字, 得意先２伝票印字, 親会社代表者氏名, 代行フラグ,伝票発行パターン,請求書発効パターン,担当支店,課税区分,請求先２コード１,請求先２コード２,請求先２名,口座ID ,紹介口座先CD2
,3,,取引中,京都府山城広域地方振興局,,ﾔﾏｼﾛｺｳｲｷﾁﾎｳｼﾝｺｳｷｮｸ,,山城広域振興局,617,6,向日市上植野町馬立8番地                ,①,,京都市外,075-921-0183,075-932-4570,,,,,,,,,,,,,,,,その他,,3,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,11,,取引中,ギャラリ－雅堂,,ｷﾞｬﾗﾘ-ｶﾞﾄﾞｳ ,,雅堂,603,8365,京都市北区平野宮敷町27,c,,京都市内,075-464-1655,075-464-0747,,,,,,,,,,,,,,,,その他,,11,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,12,,取引中,株式会社 淡  交  社,,ﾀﾝｺｳｼｬ,,㈱淡交社,603,8158,京都市北区紫野宮西町19番地            ,,,京都市内,075-432-5151,075-432-0273,,,,,,,,,,,,,,,,その他,,12,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,13,,取引中,ダンススタジオ ハギハラ,,ﾀﾞﾝｽｽﾀｼﾞｵﾊｷﾞﾊﾗ,,ダンススタジオ ハギ,607,8080,京都市山科区竹鼻竹ノ街道町29-2,町塚ビル3　　c,,京都市内,075-581-9802,,,,,,,,,,,,,,,,,その他,,13,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,15,,解約,有限会社エスエスケーシー　×,,ｴｽｴｽｹｰｼｰ,,ｴｽｴｽｹｰｼｰ,601,8393,京都市南区吉祥院中河原里西町35番地    ,                                        ,,京都市内,075-311-7964,,,,,,,,,,,,,,,,,その他,,15,,,,,,,,,                                        ,掛売上,20日,翌月,25日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,16,,取引中,アキスチール株式会社 滋賀支店,,ｱｷｽﾁｰﾙ,,アキスチール,520,3042,栗東市辻685番                        ,c,,滋賀県,077-552-2300,,,,,,,,,,,,,,,,,その他,,16,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,19,,取引中,やきやき はうす　せせらぎ,,ﾔｷﾔｷﾊｳｽ ｾｾﾗｷﾞ,,やきやきはうす,606,835,京都市左京区下鴨神殿町16-2,c,,京都市内,075-701-8432,,,,,,,,,,,,,,,,,その他,,19,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,21,,取引中,正法寺,,ｼｮｳﾎｳｼﾞ,,正法寺,614,8062,八幡市八幡清水井73,c,,京都市外,075-981-0012,,,,,,,,,,,,,,,,,その他,,21,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,22,,取引中,八幡保育園,,ﾔﾜﾀﾎｲｸｴﾝ,,八幡保育園,614,8062,八幡市八幡清水井75,c,,京都市外,075-981-7491,,,,,,,,,,,,,,,,,その他,,22,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,25,,取引中,よしや商店,,ﾖｼﾔｼｮｳﾃﾝ,,よしや商店,601,8328,京都市南区吉祥院九条町34,c,,京都市内,075-681-7488,,小宮山,,,,,,,,,,,,,,,その他,,25,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
