初期値データ, 得意先コード１, 得意先コード２, 状態, 得意先名1, 得意先名2, 得意先名(フリガナ)1, 得意先名(フリガナ)2, 略称, 郵便番号１, 郵便番号２, 住所１, 住所２, 住所(フリガナ), 地区, TEL, FAX, 代表者氏名, ご担当者１, ご担当者２, ご担当者３, 窓口ご担当, キーマン, 営業時間(午前開始時間), 営業時間(午前開始時間), 営業時間(午前終了時間), 営業時間(午前終了時間), 営業時間(午後後開始時間), 営業時間(午後開始時間), 営業時間(午後終了時間), 営業時間(午後終了時間), 休日, 業種, 業態, 請求先コード１, 請求先コード２, 請求先名, 紹介口座先コード, 紹介口座先名, 契約担当１, 契約担当２, 回収条件, 与信限度,資本金, 取引区分, 締日, 集金日(月) , 集金日(日), 集金方法, 振込銀行, 振込名義, 口座名義, 契約年月日(年), 契約年月日(月), 契約年月日(日), 契約終了日(年), 契約終了日(月), 契約終了日(日), 契約期間, 契約更新日(年), 契約更新日(月), 契約更新日(日), 伝票発行, 納品書コメント, 請求書発行, 丸め, 消費税(課税単位), 消費税(端数区分), 設備情報等・その他, Email, URL, 代表者携帯, 直通TEL, 業態, 施設, 創業日(年), 創業日(月), 創業日(日), 取引履歴, 重要事項, お振込先口座名, 銀行/支店名, 口座番号, 巡回開始日(年), 巡回開始日(月), 巡回開始日(日), 納品書コメント(効果), 請求書送付(郵送), 経理会計窓口, 略称(フリガナ), 代表者役職, 振込銀行, 住所３, 親会社名, 親会社TEL, 親会社住所, 得意先名2, 得意先名2(フリガナ), ご担当者役職１, ご担当者役職２, ご担当者役職３, ご担当者備考, ご担当者備考, 請求書コメント, 得意先１伝票印字, 得意先２伝票印字, 親会社代表者氏名, 代行フラグ,伝票発行パターン,請求書発効パターン,担当支店,課税区分,請求先２コード１,請求先２コード２,請求先２名,口座ID ,紹介口座先CD2
,130,,取引中,日本ﾊﾑｶｽﾀﾏｰ・ｺﾐｭﾆｹｰｼｮﾝ株式会社 洛西店,,ﾆｯﾎﾟﾝﾊﾑｶｽﾀﾏｰｺﾐｭﾆｹｰｼｮﾝﾗｸｻｲﾃﾝ,,日本ハム㈱,610,1143,京都市西京区大原野東境谷町2-5-5    ,洛西高島屋1F　　　　c　,,京都市内,,075-333-8037,,,,,,,,,,,,,,,,その他,,130,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,144,,取引中,京寿楽庵 株式会社,,ｷｮｳｼﾞｭﾗｸｱﾝ,,京寿楽庵,613,22,京都府久世郡久御山町佐古外屋敷72番地,ｃ,,京都市外,0774-46-2626,0774-46-5177,,,,,,,,,,,,,,,,その他,,144,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,169,,取引中,三菱電機ライフサービス㈱京都支店 ｸﾞﾙｰﾌﾟﾎｰﾑ今里,,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽ ｲﾏｻﾄ,,三菱電機LS　GH今里,617,814,長岡京市今里畔町21番1号,F,,京都市外,075-954-3664,075-954-3665,,,,,,,,,,,,,,,,その他,,169,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,174,,取引中,三菱電機ライフサービス㈱京都支店 ﾌｰﾄﾞｻｰﾋﾞｽ課,青風荘,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽｾｲﾌｳｿｳ,,三菱電機LS青風荘,617,8550,長岡京市馬場図所１番地                  ,三菱電機㈱京都製作所内 ,,京都市外,075-958-3524,075-958-3785,宮本　大邦,,,,,,,,,,,,,,,その他,,174,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,175,,取引中,三菱電機ライフサービス㈱京都支店 ｸﾞﾙｰﾌﾟﾎｰﾑ西山の郷,,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽﾆｼﾔﾏﾉｻﾄ,,三菱電機LS　西山の郷,617,853,長岡京市奥海印寺三反畑8-1            ,F,,京都市外,075-958-6581,075-958-6902,,,,,,,,,,,,,,,,その他,,175,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,179,0,取引中,三菱電機ライフサービス㈱京都支店 ビジネスサービス課,,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽﾋﾞｼﾞﾈｽｻ-ﾋﾞｽ,,三菱電機LSﾋﾞｼﾞﾈｽS,617,8550,長岡京市馬場図所1番地                  ,F,,京都市外,075-958-3527,075-958-3711,藤井　春彦,,,,,,,,,,,,,,,その他,,179,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,179,1,取引中,三菱電機ライフサービス㈱京都支店 ビジネスサービス課,体育館,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽﾋﾞｼﾞﾈｽｻ-ﾋﾞｽ,,三菱電機LSﾋﾞｼﾞﾈｽS,617,8550,長岡京市馬場図所1番地                  ,F,,京都市外,075-958-3527,075-958-3711,藤井　春彦,,,,,,,,,,,,,,,その他,,179,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,179,2,取引中,三菱電機ライフサービス㈱京都支店 ビジネスサービス課,向陽グランドハイツ（次回は　月　日です）,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽﾋﾞｼﾞﾈｽｻ-ﾋﾞｽ,,三菱電機LSﾋﾞｼﾞﾈｽS,617,8550,長岡京市馬場図所1番地                  ,F,,京都市外,075-958-3527,075-958-3711,藤井　春彦,,,,,,,,,,,,,,,その他,,179,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,200,,取引中,三菱電機ライフサービス㈱京都支店 フードサービス課,,ﾐﾂﾋﾞｼﾃﾞﾝｷﾗｲﾌｻｰﾋﾞｽﾌｰﾄﾞｻｰﾋﾞｽ,,三菱電機LS工場給食,617,8550,長岡京市馬場図所1番地,三菱電機㈱京都製作所内,,京都市外,075-958-3524,075-958-3786,,,,,,,,,,,,,,,,その他,,200,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,323,1,取引中,佐川ｸﾞﾛｰﾊﾞﾙﾛｼﾞｽﾃｨｸｽ㈱ 上鳥羽営業所,,ｻｶﾞﾜｸﾞﾛｰﾊﾞﾙﾛｼﾞｽﾃｨｸｽｶﾐﾄﾊﾞ,,佐川ｸﾞﾛﾊﾞﾙ上鳥羽,601,8103,京都市南区上鳥羽仏現寺町36            ,F　A1,,京都市内,075-681-7291,075-681-7292,,,,,,,,,,,,,,,,その他,,323,1,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,329,,取引中,佐川ｸﾞﾛｰﾊﾞﾙﾛｼﾞｽﾃｨｸｽ㈱ 横大路営業所,,ｻｶﾞﾜｸﾞﾛｰﾊﾞﾙﾛｼﾞｽﾃｨｸｽｶﾌﾞﾖｺｵｵｼﾞ,,佐川ｸﾞﾛｰﾊﾞﾙﾛｼﾞ横大路,612,8255,京都市伏見区横大路六反畑町9-7,F　A2,,京都市内,075-605-6151,075-605-6161,,,,,,,,,,,,,,,,その他,,329,,,,,,,,,,掛売上,20日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,490,,取引中,クールメード工業 株式会社,,ｸｰﾙﾒｰﾄﾞｺｳｷﾞｮｳ,,ｸｰﾙﾒｰﾄﾞ㈱,615,806,京都市右京区西京極畔勝町43番地        ,c,,京都市内,075-313-0225,,,,,,,,,,,,,,,,,その他,,490,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
