Ｍ区分CD,Ｍ区分名２,Ｍ区分２備考
0000,ＡＭ,アメニティ
0100,ＭＳＧ,無臭元工業
0101,ＹＹＫ,横浜油脂工業
0102,ＵＨＯ,ユーホーケミカル
0103,ＳＬＹ,東京サラヤ
0104,ＨＨＴ,鵬図商事
0105,ＫＦＭ,科研ファルマ
0106,ＮＩＳＳ,日曹商事
0107,ＪＮＳＮ,ジョンソン
0108,ＴＮＴ,中日建物管理
0109,ＮＴＫ,ノリタケコーテッドアプレーシブ
0110,ＡＬＢ,アルボース
0111,ＮＭＡＳ,日本マルセル
0200,ＬＩＦＬＥ,リフレ
0201,ＨＡＬ,ハル・インダストリー
0202,ＫＫＪＫ,環境浄化研究所
0203,ＫＮＭＴ,コニカミノルタメディカル
0204,ＥＩＫＯ,栄光社
0205,ＮC,ナチュラルクリエイト
0300,ＶＴＬ,バイタル
0301,ＥＮＥＧ,中部エナジス
0302,ＷＡＲＡ,ワラー
0303,ＴＯＴＯ,ＴＯＴＯ
0304,ＩＮＡＸ,ＩＮＡＸ
0305,ＳＡＮＥ,三栄水栓
0306,ＫＤＡＩ,カクダイ
0307,ＫＶＫ,ＫＶＫ
0308,ＤＡＩＤＬ,ダイドレ株式会社
0309,ＥＮＶ,エンビック
0310,ＦＴＩ,フリューゲルテクノロジーインク
0311,ＷＰ,ウォーターピック
0400,ＳＧＹＡ,杉山
0401,ＭＴＳＥ,丸富製紙（株）
0402,ＴＯＹＯ,トーヨ
0403,ＳＧＳ,総合サービス
0404,ＳＫＹ,スカイ商会
0405,ＳＢＳＥ,新橋製紙
0406,ＭＫＳＥ,丸金製紙（株）
0500,ＧＡＳＴ,ガステック
0501,ＭＲＮ,マーナ
0502,ＦＵＳＯ,扶桑理化製品（株）
0503,ＩＯＹ,アイリスオーヤマ
0504,ＲＯＹＨ,ＲＯＴＨＥＮＢＥＲＧＥＲ
0505,ＬＯＢＳ,ＬＯＢＳＴＥＲ
0506,ＡＰＳ,（有）アプソン
0507,ＭＯＲＩ,モリテックス
0600,ＮＳＥＲ,ニッセイリース
0601,ＮＳＳＥ,ニッセイ
0602,ＳＡＮＷ,サンワ
0603,ＴＥＲＡ,テラモト
0604,ＹＵＡＳ,ＹＵＡＳＡ　ＣＯ．，ＬＴＤ
0700,ＭＴＤ,三菱電機
0800,ＦＦＢ,フジフィルムバッテリー
0801,ＮＩＴＴ,日東電工（株）
0900,ＦＤＴＬ,ＦＵＮ－ＤＡＭＥＮＴＡＬ　ＴＯＯ　ＬＴＤ
9998,‐,暫定
